cocktail_name,ingredient,ingredient_category,cocktail_category,volume,unit
AMARETTO SOUR,AMARETTO DISARONNO,BASE_SPIRIT,CLASSIC COCKTAIL,40,ml
AMARETTO SOUR,BOURBON_BUFF,BASE_SPIRIT,CLASSIC COCKTAIL,30,ml
AMARETTO SOUR,LEMON JUICE,JUICE,CLASSIC COCKTAIL,20,ml
AMARETTO SOUR,EGG WHITE,MODIFIER,CLASSIC COCKTAIL,15,ml
AMARETTO SOUR,GOMME SYRUP,SYRUP,CLASSIC COCKTAIL,5,ml
CHOCOLATE NEGRONI,HOUSE_GIN,BASE_SPIRIT,NEGRONI,30,ml
CHOCOLATE NEGRONI,MAN_ROSSO,BASE_SPIRIT,NEGRONI,15,ml
CHOCOLATE NEGRONI,RED_BITTER,BASE_SPIRIT,NEGRONI,30,ml
CHOCOLATE NEGRONI,CACAO_WHITE,BASE_SPIRIT,NEGRONI,15,ml
CHOCOLATE NEGRONI,CHOCOLATE,FOOD_COMPONENT,NEGRONI,1,pcs
CHOCOLATE NEGRONI,"ICE CUBE 5,5X4,5",ICE,NEGRONI,1,pcs
CLASSIC NEGRONI,HOUSE_GIN,BASE_SPIRIT,NEGRONI,30,ml
CLASSIC NEGRONI,MAN_ROSSO,BASE_SPIRIT,NEGRONI,30,ml
CLASSIC NEGRONI,RED_BITTER,BASE_SPIRIT,NEGRONI,30,ml
CLASSIC NEGRONI,ORANGE PEEL,GARNISH,NEGRONI,1,pcs
CLASSIC NEGRONI,"ICE CUBE 5,5X4,5",ICE,NEGRONI,1,pcs
CLOVER CLUB,HOUSE_GIN,BASE_SPIRIT,CLASSIC COCKTAIL,45,ml
CLOVER CLUB,MAN_SECCO,BASE_SPIRIT,CLASSIC COCKTAIL,15,ml
CLOVER CLUB,RASPBERRY,FRUIT,CLASSIC COCKTAIL,5,g
CLOVER CLUB,LEMON JUICE,JUICE,CLASSIC COCKTAIL,15,ml
CLOVER CLUB,EGG WHITE,MODIFIER,CLASSIC COCKTAIL,15,ml
CLOVER CLUB,RASPBERRY SYRUP,SYRUP,CLASSIC COCKTAIL,15,ml
EL PRESIDENTE,PLANT_RUM_WHITE,BASE_SPIRIT,CLASSIC COCKTAIL,30,ml
EL PRESIDENTE,MAN_SECCO,BASE_SPIRIT,CLASSIC COCKTAIL,30,ml
EL PRESIDENTE,TRIPLE_SEC_DRY,BASE_SPIRIT,CLASSIC COCKTAIL,5,ml
EL PRESIDENTE,ANGOSTICO,BITTERS,CLASSIC COCKTAIL,2,ml
EL PRESIDENTE,GRENADINE,SYRUP,CLASSIC COCKTAIL,5,ml
GIN BASIL SMASH,HOUSE_GIN,BASE_SPIRIT,CLASSIC COCKTAIL,60,ml
GIN BASIL SMASH,BASIL LEAF,HERB,CLASSIC COCKTAIL,1,pcs
GIN BASIL SMASH,LEMON JUICE,JUICE,CLASSIC COCKTAIL,20,ml
GIN BASIL SMASH,BASIL SYRUP,SYRUP,CLASSIC COCKTAIL,20,ml
JAMAICAN NEGRONI,RED_BITTER,BASE_SPIRIT,SIGNATURE,30,ml
JAMAICAN NEGRONI,JAMAICAN_OVERPROOF,BASE_SPIRIT,SIGNATURE,10,ml
JAMAICAN NEGRONI,MARASCHINO,BASE_SPIRIT,SIGNATURE,10,ml
JAMAICAN NEGRONI,LIME,FRUIT,SIGNATURE,1,pcs
JAMAICAN NEGRONI,LIME JUICE,JUICE,SIGNATURE,10,ml
JAMAICAN NEGRONI,BANANA SYRUP,SYRUP,SIGNATURE,10,ml
JUNGLE BIRD,PLANT_RUM_DARK,BASE_SPIRIT,CLASSIC COCKTAIL,45,ml
JUNGLE BIRD,RED_BITTER,BASE_SPIRIT,CLASSIC COCKTAIL,22,ml
JUNGLE BIRD,PINEAPPLE JUICE,JUICE,CLASSIC COCKTAIL,45,ml
JUNGLE BIRD,LIME JUICE,JUICE,CLASSIC COCKTAIL,15,ml
JUNGLE BIRD,DEMERARA SYRUP,SYRUP,CLASSIC COCKTAIL,15,ml
KINGSTONE NEGRONI,JAMAICA_RUM,BASE_SPIRIT,NEGRONI,30,ml
KINGSTONE NEGRONI,MAN_ROSSO,BASE_SPIRIT,NEGRONI,30,ml
KINGSTONE NEGRONI,RED_BITTER,BASE_SPIRIT,NEGRONI,30,ml
KINGSTONE NEGRONI,BANANA LEAF,HERB,NEGRONI,1,pcs
KINGSTONE NEGRONI,"ICE CUBE 5,5X4,5",ICE,NEGRONI,1,pcs
MARADONA,FERNET_AMARO,BASE_SPIRIT,SIGNATURE,30,ml
MARADONA,MIRTO,BASE_SPIRIT,SIGNATURE,20,ml
MARADONA,LIME JUICE,JUICE,SIGNATURE,20,ml
MARADONA,COLA,MIXER,SIGNATURE,60,ml
MARADONA,COLA FOAM,MODIFIER,SIGNATURE,1,pcs
MEZCAL AMARONI,MEZCAL O.D.T 50%,BASE_SPIRIT,NEGRONI,30,ml
MEZCAL AMARONI,MONTE_AMARO,BASE_SPIRIT,NEGRONI,30,ml
MEZCAL AMARONI,RED_BITTER,BASE_SPIRIT,NEGRONI,30,ml
MEZCAL AMARONI,LAVENDER,HERB,NEGRONI,1,pcs
MEZCAL AMARONI,"ICE CUBE 5,5X4,5",ICE,NEGRONI,1,pcs
NEGRONI BIANCO,HOUSE_GIN,BASE_SPIRIT,NEGRONI,40,ml
NEGRONI BIANCO,BERGAMOT_LIQ,BASE_SPIRIT,NEGRONI,20,ml
NEGRONI BIANCO,MAN_BIANCO,BASE_SPIRIT,NEGRONI,30,ml
NEGRONI BIANCO,LEMON ZEST,GARNISH,NEGRONI,1,pcs
NEGRONI BIANCO,"ICE CUBE 5,5X4,5",ICE,NEGRONI,1,pcs
PAPER PLANE,BOURBON_BUFF,BASE_SPIRIT,CLASSIC COCKTAIL,30,ml
PAPER PLANE,NONINNO_AMARO,BASE_SPIRIT,CLASSIC COCKTAIL,30,ml
PAPER PLANE,APEROTIVO,BASE_SPIRIT,CLASSIC COCKTAIL,30,ml
PAPER PLANE,LEMON JUICE,JUICE,CLASSIC COCKTAIL,30,ml
PISTACCHIO SOUR,PISTACCHIO_LIQ,BASE_SPIRIT,SIGNATURE,40,ml
PISTACCHIO SOUR,PISTACCHIO GARNISH,GARNISH,SIGNATURE,3,g
PISTACCHIO SOUR,"ICE CUBE 5,5X4,5",ICE,SIGNATURE,1,pcs
PISTACCHIO SOUR,LEMON JUICE,JUICE,SIGNATURE,30,ml
PISTACCHIO SOUR,EGG WHITE,MODIFIER,SIGNATURE,20,ml
PISTACCHIO SOUR,SUGAR SYRUP,SYRUP,SIGNATURE,15,ml
PORNSTAR MARTINI,ALTA_PREMIUM,BASE_SPIRIT,CLASSIC COCKTAIL,40,ml
PORNSTAR MARTINI,LIKIER PASSION FRUIT,BASE_SPIRIT,CLASSIC COCKTAIL,20,ml
PORNSTAR MARTINI,LIME JUICE,JUICE,CLASSIC COCKTAIL,20,ml
PORNSTAR MARTINI,PROSECCO FOAM,MODIFIER,CLASSIC COCKTAIL,1,pcs
PORNSTAR MARTINI,PASSION FRUIT CORDIAL,SYRUP,CLASSIC COCKTAIL,40,ml
PORNSTAR MARTINI,VANILLA SYRUP,SYRUP,CLASSIC COCKTAIL,10,ml
ROSA SPRITZ,HOUSE_GIN,BASE_SPIRIT,SIGNATURE,20,ml
ROSA SPRITZ,PROSECCO,BASE_SPIRIT,SIGNATURE,60,ml
ROSA SPRITZ,MINI ROSE,GARNISH,SIGNATURE,2,pcs
ROSA SPRITZ,MINT,HERB,SIGNATURE,1,pcs
ROSA SPRITZ,SODA,MIXER,SIGNATURE,20,ml
ROSA SPRITZ,ROSE CORDIAL,SYRUP,SIGNATURE,60,ml
SGROPPINO,MAL_ORIG,BASE_SPIRIT,SIGNATURE,15,ml
SGROPPINO,LIMONCELLO,BASE_SPIRIT,SIGNATURE,30,ml
SGROPPINO,PROSECCO,BASE_SPIRIT,SIGNATURE,90,ml
SGROPPINO,CITRUS ICE CREAM,FOOD_COMPONENT,SIGNATURE,30,g
SGROPPINO,ELDERFLOWER SYRUP,SYRUP,SIGNATURE,10,ml
SHAKERONI,HOUSE_GIN,BASE_SPIRIT,SIGNATURE,30,ml
SHAKERONI,APERITIVO_SPID,BASE_SPIRIT,SIGNATURE,30,ml
SHAKERONI,PINEAPPLE FOAM,MODIFIER,SIGNATURE,1,pcs
SHAKERONI,PINEAPPLE CORDIAL,SYRUP,SIGNATURE,40,ml
