name,product_category,supplier,capacity_value,capacity_unit,net_price
NONINNO_AMARO,LIQUEUR,VINVIN,700,ml,92.9
MAL_ORIG,GIN,UNION ,700,ml,76.92
ZUCA_AMARO,LIQUEUR,UNION ,700,ml,64.50
TRIPLE_SEC_DRY,LIQUEUR,UNION ,700,ml,82.25
SOCO LIQ,LIQUEUR,UNION ,700,ml,48.58
AMARETTO DISARONNO,LIQUEUR,UNION ,700,ml,59.50
LIMONCELLO,LIQUEUR,UNION ,700,ml,33.71
PLANT_RUM_WHITE,RUM,UNION ,700,ml,63.15
PLANT_RUM_DARK,RUM,UNION ,700,ml,63.70
TONIC,SOFT,UNION ,200,ml,3.14
SPUMANTE,VINE,UNION ,750,ml,18.95
BOURBON_BUFF,WHISKY,UNION ,700,ml,67.95
SAZ_RYE_WHISKY,WHISKY,UNION ,700,ml,93.55
IRISHMILL,WHISKY,UNION ,700,ml,64.95
MACCALY,WHISKY,UNION,,,263.00
RYE WHISKY,WHISKY,UNION,700,ml,93.55
BOURBON_BUFF,WHISKY,UNION,700,ml,67.95
SUNDAY GIN,GIN,SUNDAY,700,ml,84.14
CARPANO ANTICA FORMULA,VERMOUTH,Spirit House,1000,ml,118.70
VENEZIANO_BITTER,APERITIF,PORT SHOP,700,ml,49.90
BITTER FUSETTI,APERITIF,PORT SHOP,1000,ml,79.99
CACAO_WHITE,LIQUEUR,PORT SHOP,700,ml,64.59
BERGAMOT_LIQ,LIQUEUR,PORT SHOP,700,ml,118.22
JAMAICA_RUM,RUM,PORT SHOP,700,ml,108.13
JAMAICAN_OVERPROOF,RUM,PORT SHOP,700,ml,95.56
MEZCAL,TEQUILA,PORT SHOP,700,ml,117.26
CYNARRO,APERITIF,Pedro2,700,ml,43.01
APEROTIVO,APERITIF,Pedro2,1000,ml,70.93
"LIMONCE APERITIVO ABV 14,8%",APERITIF,Pedro2,700,ml,44.90
FERNET_AMARO,LIQUEUR,Pedro2,700,ml,67.90
AVE_AMARO,LIQUEUR,Pedro2,700,ml,56.98
RED_BITTER,LIQUEUR,Pedro2,700,ml,71.90
LIKIER PASSION FRUIT,LIQUEUR,Pedro2,700,ml,
STAMBECCO TIRAMISU LIQUEUR,LIQUEUR,Pedro2,700,ml,76.00
ANTICO_ROSSO,VERMOUTH,Pedro2,1000,ml,122.28
WILD_T,WHISKY,Pedro2,700,ml,95.90
CONNEMARA,WHISKY,Pedro2,700,ml,
LAP 10,WHISKY,Pedro2,700,ml,
APERITIVO_SPID,APERITIF,Nord_co,1000,ml,66.86
ITALAGER,BEER,Nord_co,330,ml,3.99
DOPPIO MALT,BEER,Nord_co,330,ml,3.99
TORF_GIN,GIN,Nord_co,500,ml,174.63
LUNA_GRAPPA,GRAPPA,Nord_co,700,ml,159.48
AROMA_GRAPPA,GRAPPA,Nord_co,700,ml,150.49
EXTRAFINA_GRAPPA,GRAPPA,Nord_co,700,ml,190.79
LUCIANO_AMARO,LIQUEUR,Nord_co,1000,ml,79.69
BOMBA_AMARO,LIQUEUR,Nord_co,700,ml,151.40
JEFF_AMARO,LIQUEUR,Nord_co,700,ml,132.32
CARCIOFFO_AMARO,LIQUEUR,Nord_co,500,ml,64.54
SAMBUCA,LIQUEUR,Nord_co,700,ml,75.65
PISTACCHIO_LIQ,LIQUEUR,Nord_co,500,ml,64.54
MARASCHINO,LIQUEUR,Nord_co,700,ml,79.69
LIMONZERO,LIQUEUR,Nord_co,500,ml,60.50
SAMBUCA LUCANO,LIQUEUR,Nord_co,700,ml,75.65
BERGAMO FANTASTICO,LIQUEUR,Nord_co,700,ml,126.56
ROSSO BITTER,SOFT,Nord_co,100,ml,2.90
MAN_SECCO,VERMOUTH,Nord_co,750,ml,81.90
VERMOUTH ROSSO 18% SILVIO CARTA,VERMOUTH,Nord_co,750,ml,89.90
VERMOUTH BIANCO 16% SILVIO CARTA,VERMOUTH,Nord_co,750,ml,89.90
ALTA_PREMIUM,VODKA,Nord_co,700,ml,120.19
"WHISKY SARDEGNA 43,7%",WHISKY,Nord_co,500,ml,463.59
APERITIF APEROTIVO BITTER 11% 1L,APERITIF,Milano Bombardino,1000,ml,75.54
SARDEGNA BEER,BEER,Milano Bombardino,330,ml,5.05
SARDEGNA BEER FILTR.,BEER,Milano Bombardino,330,ml,4.56
CROATIAN,SOFT,Milano Bombardino,100,ml,5.05
BITTERRANEO,SOFT,Milano Bombardino,200,ml,3.49
ITALO STILL WATER,SOFT,Milano Bombardino,250,ml,3.14
ITALO SPARKLING WATER,SOFT,Milano Bombardino,250,ml,3.14
CHINO,SOFT,Milano Bombardino,200,ml,3.49
PROSECCO,VINE,LANDWINE,750,ml,29.92
APEROTIVO,APERITIF,EUROPEANMONEY,1000,ml,71.37
APERITIF APEROTIVO BITTER 11% 1L,APERITIF,EUROPEANMONEY,1000,ml,71.37
APERITIF APEROTIVO BITTER 11% 700ML,APERITIF,EUROPEANMONEY,750,ml,57.08
