product_name,category,supplier,purchase_date,purchase_quantity_standardized,unit_standarized,net_purchase_cost,invoice_number
TOMATO JUICE,JUICE,CASH&MAKRO,2025-01-25,1000,ml,5.84,CM-20250125
APPLE GREEN,FRUIT,CASH&MAKRO,2025-02-04,1000,g,7.99,CM-20250204
APPLE RED,FRUIT,CASH&MAKRO,2025-02-04,1000,g,5.34,CM-20250204
PEACH,FRUIT,CASH&MAKRO,2025-02-04,1000,g,12.23,CM-20250204
PINEAPPLE JUICE,JUICE,CASH&MAKRO,2025-02-07,1000,ml,5.99,CM-20250207
PEANUT BUTTER,FOOD_COMPONENT,CASH&MAKRO,2025-02-09,1000,g,43.8,CM-20250209
SESAME SEEDS,FOOD_COMPONENT,CASH&MAKRO,2025-02-09,500,g,28.7,CM-20250209
MINI ROSE,HERB,CASH&MAKRO,2025-02-15,1000,g,83.34,CM-20250215
PISTACCHIO,FOOD_COMPONENT,CASH&MAKRO,2025-03-10,100,g,23.20,CM-20250310
CRANBERRY JUICE,JUICE,CASH&MAKRO,2025-03-14,1000,ml,6.9,CM-20250314
CHOCOLATE,FOOD_COMPONENT,CASH&MAKRO,2025-03-18,500,g,4.98,CM-20250318
CITRUS ICE CREAM,FOOD_COMPONENT,CASH&MAKRO,2025-03-18,1000,g,23.00,CM-20250318
DARK CHOCOLATE,FOOD_COMPONENT,CASH&MAKRO,2025-03-18,60,g,6.2,CM-20250318
WHITE CHOCOLATE,FOOD_COMPONENT,CASH&MAKRO,2025-03-18,60,g,5.8,CM-20250318
COCOA POWDER,FOOD_COMPONENT,CASH&MAKRO,2025-03-18,500,g,22,CM-20250318
COFFEE BEANS,FOOD_COMPONENT,CASH&MAKRO,2025-03-18,1000,g,57.6,CM-20250318
GROUND COFFEE,FOOD_COMPONENT,CASH&MAKRO,2025-03-18,1000,g,36.5,CM-20250318
POMEGRANATE JUICE,JUICE,CASH&MAKRO,2025-04-01,1000,ml,9.9,CM-20250401
COCONUT FLAKES,FOOD_COMPONENT,CASH&MAKRO,2025-04-03,500,g,17.5,CM-20250403
ALMOND FLAKES,FOOD_COMPONENT,CASH&MAKRO,2025-04-03,500,g,36,CM-20250403
HAZELNUT PASTE,FOOD_COMPONENT,CASH&MAKRO,2025-04-03,1000,g,29,CM-20250403
PLUM,FRUIT,CASH&MAKRO,2025-04-07,1000,g,14.23,CM-20250407
ELDERFLOWER SYRUP,SYRUP,CASH&MAKRO,2025-04-21,1000,ml,38.00,CM-20250421
GOMME SYRUP,SYRUP,CASH&MAKRO,2025-04-21,500,ml,12.70,CM-20250421
GRENADINE,SYRUP,CASH&MAKRO,2025-04-21,1000,ml,24.80,CM-20250421
MAPLE SYRUP,SYRUP,CASH&MAKRO,2025-04-21,1000,ml,18,CM-20250421
AGAVE SYRUP,SYRUP,CASH&MAKRO,2025-04-21,1000,ml,24.5,CM-20250421
ALMOND SYRUP (ORGEAT),SYRUP,CASH&MAKRO,2025-04-21,1000,ml,26,CM-20250421
FALERNUM,SYRUP,CASH&MAKRO,2025-04-21,1000,ml,28.9,CM-20250421
APPLE JUICE,JUICE,CASH&MAKRO,2025-05-04,1000,ml,4.9,CM-20250504
PASSION_FRUIT,FRUIT,CASH&MAKRO,2025-05-13,500,g,37,CM-20250513
KIWI,FRUIT,CASH&MAKRO,2025-05-13,1000,g,12.64,CM-20250513
POMEGRANATE,FRUIT,CASH&MAKRO,2025-05-13,1000,g,13.54,CM-20250513
PEAR,FRUIT,CASH&MAKRO,2025-05-13,1000,g,15.54,CM-20250513
LEMON,FRUIT,CASH&MAKRO,2025-05-25,30000,g,133.60,CM-20250525
LIME,FRUIT,CASH&MAKRO,2025-05-25,20000,g,94.33,CM-20250525
RASPBERRY,FRUIT,CASH&MAKRO,2025-05-25,1000,g,18.00,CM-20250525
ORANGE,FRUIT,CASH&MAKRO,2025-05-25,30000,g,149.49,CM-20250525
BLUEBERRY,FRUIT,CASH&MAKRO,2025-05-25,500,g,20,CM-20250525
STRAWBERRY,FRUIT,CASH&MAKRO,2025-05-25,1000,g,28.8,CM-20250525
GRAPEFRUIT,FRUIT,CASH&MAKRO,2025-05-25,5000,g,27.7,CM-20250525
PINEAPPLE,FRUIT,CASH&MAKRO,2025-05-25,1000,g,16,CM-20250525
MANGO,FRUIT,CASH&MAKRO,2025-05-25,1000,g,14,CM-20250525
LEMON JUICE,JUICE,FRESHPREP,2025-01-10,2000,ml,19.00,FP-20250125
LIME JUICE,JUICE,FRESHPREP,2025-01-10,2000,ml,26.00,FP-20250204
ORANGE JUICE,JUICE,FRESHPREP,2025-02-07,1000,ml,6.98,FP-20250204
GRAPEFRUIT JUICE,JUICE,FRESHPREP,2025-02-07,1000,ml,7.8,FP-20250204
COLA FOAM,MODIFIER,FRESHPREP,2025-02-22,,,,
EGG WHITE,MODIFIER,FRESHPREP,2025-03-30,,,,
PROSECCO FOAM,MODIFIER,FRESHPREP,2025-03-30,,,,
PINEAPPLE FOAM,MODIFIER,FRESHPREP,2025-03-30,,,,
BANANA SYRUP,SYRUP,FRESHPREP,2025-02-17,500,ml,38.90,FP-20250215
BASIL SYRUP,SYRUP,FRESHPREP,2025-03-07,1000,ml,44.50,FP-20250310
DEMERARA SYRUP,SYRUP,FRESHPREP,2025-05-21,500,ml,18.20,FP-20250314
