name,product_category,supplier,capacity_value,capacity_unit,tax_rate,gross_price
NONINNO_AMARO,LIQUEUR,VINVIN,700,ml,0.23,92.9
MAL_ORIG,GIN,UNION ,700,ml,0.23,76.92
ZUCA_AMARO,LIQUEUR,UNION ,700,ml,0.23,64.50
TRIPLE_SEC_DRY,LIQUEUR,UNION ,700,ml,0.23,82.25
SOCO LIQ,LIQUEUR,UNION ,700,ml,0.23,48.58
AMARETTO DISARONNO,LIQUEUR,UNION ,700,ml,0.23,59.50
LIMONCELLO,LIQUEUR,UNION ,700,ml,0.23,33.71
PLANT_RUM_WHITE,RUM,UNION ,700,ml,0.23,63.15
PLANT_RUM_DARK,RUM,UNION ,700,ml,0.23,63.70
TONIC,SOFT,UNION ,200,ml,0.23,3.14
SPUMANTE,VINE,UNION ,750,ml,0.23,18.95
BOURBON_BUFF,WHISKY,UNION ,700,ml,0.23,67.95
SAZ_RYE_WHISKY,WHISKY,UNION ,700,ml,0.23,93.55
IRISHMILL,WHISKY,UNION ,700,ml,0.23,64.95
MACCALY,WHISKY,UNION,null,null,0.23,263.00
RYE WHISKY,WHISKY,UNION,700,ml,0.23,93.55
BOURBON_BUFF,WHISKY,UNION,700,ml,0.23,67.95
SUNDAY GIN,GIN,SUNDAY,700,ml,0.23,84.14
CARPANO ANTICA FORMULA,VERMOUTH,Spirit House,1000,ml,0.23,118.70
VENEZIANO_BITTER,APERITIF,PORT SHOP,700,ml,0.23,49.90
BITTER FUSETTI,APERITIF,PORT SHOP,1000,ml,0.23,79.99
CACAO_WHITE,LIQUEUR,PORT SHOP,700,ml,0.23,64.59
BERGAMOT_LIQ,LIQUEUR,PORT SHOP,700,ml,0.23,118.22
JAMAICA_RUM,RUM,PORT SHOP,700,ml,0.23,108.13
JAMAICAN_OVERPROOF,RUM,PORT SHOP,700,ml,0.23,95.56
MEZCAL,TEQUILA,PORT SHOP,700,ml,0.23,117.26
CYNARRO,APERITIF,Pedro2,700,ml,0.23,43.01
APEROTIVO,APERITIF,Pedro2,1000,ml,0.23,70.93
"LIMONCE APERITIVO ABV 14,8%",APERITIF,Pedro2,700,ml,0.23,44.90
FERNET_AMARO,LIQUEUR,Pedro2,700,ml,0.23,67.90
AVE_AMARO,LIQUEUR,Pedro2,700,ml,0.23,56.98
RED_BITTER,LIQUEUR,Pedro2,700,ml,0.23,71.90
LIKIER PASSION FRUIT,LIQUEUR,Pedro2,700,ml,0.23,null
STAMBECCO TIRAMISU LIQUEUR,LIQUEUR,Pedro2,700,ml,0.23,76.00
ANTICO_ROSSO,VERMOUTH,Pedro2,1000,ml,0.23,122.28
WILD_T,WHISKY,Pedro2,700,ml,0.23,95.90
CONNEMARA,WHISKY,Pedro2,700,ml,0.23,null
LAP 10,WHISKY,Pedro2,700,ml,0.23,null
APERITIVO_SPID,APERITIF,Nord_co,1000,ml,0.23,66.86
ITALAGER,BEER,Nord_co,330,ml,0.23,3.99
DOPPIO MALT,BEER,Nord_co,330,ml,0.23,3.99
TORF_GIN,GIN,Nord_co,500,ml,0.23,174.63
LUNA_GRAPPA,GRAPPA,Nord_co,700,ml,0.23,159.48
AROMA_GRAPPA,GRAPPA,Nord_co,700,ml,0.23,150.49
EXTRAFINA_GRAPPA,GRAPPA,Nord_co,700,ml,0.23,190.79
LUCIANO_AMARO,LIQUEUR,Nord_co,1000,ml,0.23,79.69
BOMBA_AMARO,LIQUEUR,Nord_co,700,ml,0.23,151.40
JEFF_AMARO,LIQUEUR,Nord_co,700,ml,0.23,132.32
CARCIOFFO_AMARO,LIQUEUR,Nord_co,500,ml,0.23,64.54
SAMBUCA,LIQUEUR,Nord_co,700,ml,0.23,75.65
PISTACCHIO_LIQ,LIQUEUR,Nord_co,500,ml,0.23,64.54
MARASCHINO,LIQUEUR,Nord_co,700,ml,0.23,79.69
LIMONZERO,LIQUEUR,Nord_co,500,ml,0.23,60.50
SAMBUCA LUCANO,LIQUEUR,Nord_co,700,ml,0.23,75.65
BERGAMO FANTASTICO,LIQUEUR,Nord_co,700,ml,0.23,126.56
ROSSO BITTER,SOFT,Nord_co,100,ml,0.23,2.90
MAN_SECCO,VERMOUTH,Nord_co,750,ml,0.23,81.90
VERMOUTH ROSSO 18% SILVIO CARTA,VERMOUTH,Nord_co,750,ml,0.23,89.90
VERMOUTH BIANCO 16% SILVIO CARTA,VERMOUTH,Nord_co,750,ml,0.23,89.90
ALTA_PREMIUM,VODKA,Nord_co,700,ml,0.23,120.19
"WHISKY SARDEGNA 43,7%",WHISKY,Nord_co,500,ml,0.23,463.59
APERITIF APEROTIVO BITTER 11% 1L,APERITIF,Milano Bombardino,1000,ml,0.23,75.54
SARDEGNA BEER,BEER,Milano Bombardino,330,ml,0.23,5.05
SARDEGNA BEER FILTR.,BEER,Milano Bombardino,330,ml,0.23,4.56
CROATIAN,SOFT,Milano Bombardino,100,ml,0.23,5.05
BITTERRANEO,SOFT,Milano Bombardino,200,ml,0.23,3.49
ITALO STILL WATER,SOFT,Milano Bombardino,250,ml,0.23,3.14
ITALO SPARKLING WATER,SOFT,Milano Bombardino,250,ml,0.23,3.14
CHINO,SOFT,Milano Bombardino,200,ml,0.23,3.49
PROSECCO,VINE,LANDWINE,750,ml,0.23,29.92
APEROTIVO,APERITIF,EUROPEANMONEY,1000,ml,0.23,71.37
APERITIF APEROTIVO BITTER 11% 1L,APERITIF,EUROPEANMONEY,1000,ml,0.23,71.37
APERITIF APEROTIVO BITTER 11% 700ML,APERITIF,EUROPEANMONEY,750,ml,0.23,57.08
CYNARRO,APERITIF,EUROPEANMONEY,700,ml,0.23,44.83
RED_BITTER,APERITIF,EUROPEANMONEY,700,ml,0.23,65.55
GIN MONKEY 88,GIN,EUROPEANMONEY,500,ml,0.23,150.52
GIN BEEF 24 40%,GIN,EUROPEANMONEY,700,ml,0.23,91.57
GIN TANGERINE 47%,GIN,EUROPEANMONEY,700,ml,0.23,122.83
"GIN CUCUMBER&ROSE 41,4%",GIN,EUROPEANMONEY,700,ml,0.23,123.02
GIN ORIENTAL,GIN,EUROPEANMONEY,700,ml,0.23,86.34
LIKIER PASSION FRUIT,LIQUEUR,EUROPEANMONEY,700,ml,0.23,40.69
LIKIER ST DEUTSH 20%,LIQUEUR,EUROPEANMONEY,700,ml,0.23,124.06
LIKIER ARCHIBALDO,LIQUEUR,EUROPEANMONEY,700,ml,0.23,57.26
PEACHTREE 700ML,LIQUEUR,EUROPEANMONEY,700,ml,0.23,56.29
FRENCH TRIPLE SEC,LIQUEUR,EUROPEANMONEY,700,ml,0.23,76.09
DUTCH TRIPLE SEC,LIQUEUR,EUROPEANMONEY,700,ml,0.23,62.84
JACK,WHISKY,EUROPEANMONEY,700,ml,0.23,68.99
BULLY BRBN,WHISKY,EUROPEANMONEY,700,ml,0.23,79.84
WILD_T,WHISKY,EUROPEANMONEY,700,ml,0.23,99.42
SHOULDER 40%,WHISKY,EUROPEANMONEY,700,ml,0.23,104.52
REGAL 12,WHISKY,EUROPEANMONEY,700,ml,0.23,79.99
MARK 45%,WHISKY,EUROPEANMONEY,700,ml,0.23,100.87
REGAL 18YO,WHISKY,EUROPEANMONEY,700,ml,0.23,235.89
IRISHMILL,WHISKY,EUROPEANMONEY,700,ml,0.23,50.69
JAMES IRISH WHISKY,WHISKY,EUROPEANMONEY,700,ml,0.23,63.00
BALLANTINO,WHISKY,EUROPEANMONEY,700,ml,0.23,45.99
ANGOSTICO,BITTERS,EUROPEANMONEY,200,ml,0.23,null
AMBROEUS APERITIF 0%,APERITIF,CRUMPS SPIRITS,750,ml,0.23,79.76
GIN PORTO,GIN,CRUMPS SPIRITS,500,ml,0.23,136.59
PORT_GIN,GIN,CRUMPS SPIRITS,500,ml,0.23,135.59
TEQUILA WHITE,TEQUILA,CRUMPS SPIRITS,700,ml,0.23,101.71
TEQUILA GOLD,TEQUILA,CRUMPS SPIRITS,700,ml,0.23,109.02
FOUR DOLLAR,SOFT,CHBC,200,ml,0.23,4.16
COLA,SOFT,CHBC,200,ml,0.23,2.37
COLA ZERO,SOFT,CHBC,200,ml,0.23,2.30
ORANGE,SOFT,CHBC,200,ml,0.23,2.27
CITRON SODA,SOFT,CHBC,200,ml,0.23,2.35
MEZCAL O.D.T 50%,TEQUILLA/MEZCAL,CHBC,700,ml,0.23,220.12
SOMBRERO BLANCO,TEQUILLA/MEZCAL,CHBC,700,ml,0.23,141.03
SOMBRERO REPOSADO,TEQUILLA/MEZCAL,CHBC,700,ml,0.23,134.00
RED_BITTER,APERITIF,CEBD,700,ml,0.23,null
APERITIF ROSA,APERITIF,NULL,700,ml,0.23,null
ROSSO CHERRY,APERITIF,NULL,750,ml,0.23,null
APERITIVO SAMBUCO,APERITIF,NULL,750,ml,0.23,null
APERITIVO EDEN PREMIUM 11%,APERITIF,NULL,1000,ml,0.23,75.65
SPRISETTO ZERO,APERITIF,NULL,700,ml,0.23,73.05
MAN_SAKURA,VERMOUTH,NULL,500,ml,0.23,97.75
MAN_KOPI,VERMOUTH,NULL,500,ml,0.23,91.10
JAPAN WHISKY,WHISKY,NULL,null,null,0.23,550.00
TORFY,WHISKY,NULL,null,null,0.23,239.00
ISLA 10 YO,WHISKY,NULL,null,null,0.23,206.52
AMARETTO,LIQUEUR,UNION ,700,ml,0.23,59.50
MONTE_AMARO,LIQUEUR,PORT SHOP,700,ml,0.23,63.80
RED_BITTER,LIQUEUR,PORT SHOP,1000,ml,0.23,79.60
MIRTO,LIQUEUR,Nord_co,700,ml,0.23,83.73
