NAME,Product_Category,SUPPLIER,CAPACITY,Net price
APERITIF ROSA,Aperitif,,700ml,
RED_BITTER,Aperitif,CEBD,700ml,
FRENCH_APERITIF,Aperitif,CRUMPS SPIRITS,700ml,"79,22 PLN"
AMBROEUS APERITIF 0%,Aperitif,CRUMPS SPIRITS,750ML,"79,76 PLN"
FRENCH_APERITIF,Aperitif,CRUMPS SPIRITS,700ml,"79,22 PLN"
APEROTIVO,Aperitif,EUROPEANMONEY,1000ml,"71,37 PLN"
APERITIF APEROTIVO BITTER 11% 1L,Aperitif,EUROPEANMONEY,1000ml,"71,37 PLN"
APERITIF APEROTIVO BITTER 11% 700ML,Aperitif,EUROPEANMONEY,750ML,"57,08 PLN"
CYNARRO,Aperitif,EUROPEANMONEY,700ml,"44,83 PLN"
RED_BITTER,Aperitif,EUROPEANMONEY,700ml,"65,55 PLN"
APERITIF APEROTIVO BITTER 11% 1L,Aperitif,Milano Bombardino,1000ml,"75,54 PLN"
APERITIVO_SPID,Aperitif,Nord_co,1000,"66,86 PLN"
CYNARRO,Aperitif,Pedro2,700ml,"43,01 PLN"
APEROTIVO,Aperitif,Pedro2,1000ml,"70,93 PLN"
"LIMONCE APERITIVO ABV 14,8%",Aperitif,Pedro2,700ml,"44,90 PLN"
VENEZIANO_BITTER,Aperitif,PORT SHOP,700ml,"49,90 PLN"
BITTER FUSETTI,Aperitif,PORT SHOP,1000ml,"79,99 PLN"
ROSSO CHERRY,Aperitif,,750ML,
APERITIVO SAMBUCO,Aperitif,,750ML,
APERITIVO EDEN PREMIUM 11%,Aperitif,,1000ml,"75,65 PLN"
SPRISETTO ZERO,Aperitif,,700ML,"73,05 PLN"
SARDEGNA BEER,Beer,Milano Bombardino,330ml,"5,05 PLN"
FABRI SUPERIORE 0%,Beer,Milano Bombardino,330ml,"3,33 PLN"
SARDEGNA BEER FILTR.,Beer,Milano Bombardino,330ml,"4,56 PLN"
FABRI SUPERIORE 0%,Beer,Milano Bombardino,330ml,"3,33 PLN"
ITALAGER,Beer,Nord_co,330ml,"3,99 PLN"
DOPPIO MALT,Beer,Nord_co,330ml,"3,99 PLN"
