sale_date,product_name,category,tax,quantity,product_price_gross,total_price_gross
2025-01-01,AMARETTO SOUR,classic cocktail,23%,10,38,380
2025-01-01,CLASSIC NEGRONI,negroni,23%,12,35,420
2025-01-01,JAMAICAN NEGRONI,signature,23%,8,42,336
2025-01-01,PISTACCHIO SOUR,signature,23%,6,39,234
2025-01-02,AMARETTO SOUR,classic cocktail,23%,11,38,418
2025-01-02,CHOCOLATE NEGRONI,negroni,23%,9,38,342
02/01/2025,CLASSIC NEGRONI,negroni,23%,14,35,490
2025-01-02,SHAKERONI,signature,23%,7,42,294
03/01/2025,AMARETTO SOUR,classic cocktail,23%,16,38,608
2025-01-03,CLASSIC NEGRONI,negroni,23%,22,35,770
03/01/2025,COLA,Soft,23%,8,10,80
03/01/2025,COLA ZERO,Soft,23%,6,10,60
2025-01-03,KINGSTONE NEGRONI,negroni,23%,14,39,546
2025-01-03,PISTACCHIO SOUR,signature,23%,14,39,546
03/01/2025,SARDEGNA BEER,Beer,23%,6,19,114
2025-01-03,SHAKERONI,signature,23%,12,42,504
03/01/2025,TONIC,Soft,23%,10,12,120
03/01/2025,ZUCA_AMARO,liqueur,23%,4,18,72
03/01/2025,GIN BASIL SMASH,classic cocktail,23%,6,36,216
2025-01-04,AMARETTO SOUR,classic cocktail,23%,22,38,836
2025-01-04,CHOCOLATE NEGRONI,negroni,23%,20,38,760
2025-01-04,CLASSIC NEGRONI,negroni,23%,28,35,980
04/01/2025,COLA,Soft,23%,12,10,120
04/01/2025,COLA ZERO,Soft,23%,9,10,90
04/01/2025,ITALAGER,Beer,23%,7,20,140
04/01/2025,ITALO SPARKLING WATER,Soft,23%,18,9,162
2025-01-04,JAMAICAN NEGRONI,signature,23%,18,42,756
04/01/2025,MAN_BIANCO,Vermouth,23%,4,20,80
2025-01-04,MARADONA,signature,23%,12,42,504
04/01/2025,MIRTO,liqueur,23%,3,20,60
04/01/2025,PISTACCHIO SOUR,signature,23%,20,39,780
04/01/2025,REGAL 12,whisky,23%,5,29,145
04/01/2025,SARDEGNA BEER FILTR.,Beer,23%,8,19,152
04/01/2025,TONIC,Soft,23%,14,12,168
04/01/2025,ZUCA_AMARO,liqueur,23%,6,18,108
04/01/2025,GIN BASIL SMASH,classic cocktail,23%,8,36,288
2025-01-05,AMARETTO SOUR,classic cocktail,23%,14,38,532
05/01/2025,CHINO,Soft,23%,6,10,60
2025-01-05,CLASSIC NEGRONI,negroni,23%,18,35,630
05/01/2025,FABRI SUPERIORE 0%,Beer,23%,5,20,100
05/01/2025,ITALO STILL WATER,Soft,23%,15,9,135
2025-01-05,KINGSTONE NEGRONI,negroni,23%,10,39,390
05/01/2025,MAN_ROSSO,Vermouth,23%,3,20,60
05/01/2025,REGAL 12,whisky,23%,3,29,87
05/01/2025,SHAKERONI,signature,23%,9,42,378
07/01/2025,AMARETTO SOUR,classic cocktail,23%,12,38,456
07/01/2025,CLASSIC NEGRONI,negroni,23%,16,35,560
07/01/2025,SHAKERONI,signature,23%,9,42,378
08/01/2025,CHOCOLATE NEGRONI,negroni,23%,11,38,418
08/01/2025,CLASSIC NEGRONI,negroni,23%,18,35,630
08/01/2025,PISTACCHIO SOUR,signature,23%,10,39,390
09/01/2025,AMARETTO SOUR,classic cocktail,23%,14,38,532
09/01/2025,CLASSIC NEGRONI,negroni,23%,20,35,700
09/01/2025,JAMAICAN NEGRONI,signature,23%,12,42,504
10/01/2025,CLASSIC NEGRONI,negroni,23%,26,35,910
10/01/2025,COLA,Soft,23%,9,10,90
10/01/2025,KINGSTONE NEGRONI,negroni,23%,16,39,624
10/01/2025,MAN_ROSSO,Vermouth,23%,4,20,80
10/01/2025,MIRTO,liqueur,23%,3,20,60
10/01/2025,PISTACCHIO SOUR,signature,23%,18,39,702
10/01/2025,SARDEGNA BEER,Beer,23%,7,19,133
10/01/2025,SHAKERONI,signature,23%,14,42,588
10/01/2025,WILD_T,whisky,23%,4,24,96
10/01/2025,GIN BASIL SMASH,classic cocktail,23%,7,36,252
11/01/2025,AMARETTO SOUR,classic cocktail,23%,24,38,912
11/01/2025,CHOCOLATE NEGRONI,negroni,23%,22,38,836
11/01/2025,CLASSIC NEGRONI,negroni,23%,30,35,1050
11/01/2025,DOPPIO MALT,Beer,23%,9,20,180
11/01/2025,PORNSTAR MARTINI,classic cocktail,23%,5,42,210
11/01/2025,FABRI SUPERIORE 0%,Beer,23%,6,20,120
11/01/2025,JAMAICAN NEGRONI,signature,23%,20,42,840
11/01/2025,MARADONA,signature,23%,14,42,588
11/01/2025,EL PRESIDENTE,classic cocktail,23%,6,38,228
11/01/2025,REGAL 18YO,whisky,23%,3,40,120
11/01/2025,ROSA SPRITZ,signature,23%,4,39,156
11/01/2025,ROSSO BITTER,Soft,23%,7,10,70
11/01/2025,TONIC,Soft,23%,16,12,192
